position,name,year,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
,Marcus Campbell,2005,82.25,84.25,280,90,114,,,,,,,,9,,,79,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-F,Martell Webster,2005,78,79.5,230,83,106,,,,28,134,30.5,136.5,7,11.39,3.39,59,6,2009,22,1,0,5,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8.4,0,0,0,1,0,0,0,0,0,0,0,9.4,0,117,0,0,0,-0.204
C,Martynas Andriuskevicius,2005,85.25,87,228,83.25,112.5,,,,24,136.5,27.5,140,,11.94,3.42,73,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Marvin Williams,2005,79,80.25,228,87.5,108,,,,29.5,137.5,35,143,12,11.11,3.17,15,2,2009,22,61,59,2093,285,622,0.458,55,155,0.355,230,467,0.493,220,273,0.806,110,272,382,81,57,39,70,127,845,16,0.569,0.502,0.439,0.249,6.2,15.2,10.7,6.3,1.5,1.4,8.6,18.2,117,108,3.9,2.2,6.1,0.14
,Mike Bell,2005,80.75,81.25,206,85.5,104.5,,,,33.5,138,39.5,144,13,11.73,3.29,19,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mindaugas Katelynas,2005,79.5,80.5,217,83,105.5,,,,31.5,137,35,140.5,7,11.6,3.38,52,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Monta Ellis,2005,74.25,75.25,177,74.75,98,,,,26.5,124.5,31.5,129.5,,12.13,3.31,70,40,2009,23,25,25,892,194,430,0.451,8,26,0.308,186,404,0.46,78,94,0.83,14,94,108,93,39,8,67,67,474,14.5,0.503,0.46,0.219,0.06,1.7,11.5,6.6,17.5,2.1,0.6,12.4,25.8,99,114,-0.1,0.3,0.2,0.012
,Omar Thomas,2005,75.25,76.5,200,80,102,,,,25,127,29.5,131.5,6,11.11,3.27,57,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Rashad McCants,2005,74.75,76,201,82.75,103.5,,,,32.5,136,34.5,138,15,10.39,3.11,3,14,2009,24,58,3,1101,192,488,0.393,63,189,0.333,129,299,0.431,107,141,0.759,21,89,110,68,47,14,64,103,554,13,0.504,0.458,0.289,0.387,2.2,9.7,5.8,10.7,2.2,1,10.4,25.1,100,113,0,0.5,0.6,0.025
G-F,Rawle Marshall,2005,76.5,77.75,187,85,104,,,,30.5,134.5,37,141,7,11.64,3.21,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
